N,K,alpha,eta,elbo,coherence,perplexity,topics,weights
25,1,0.01,0.01,19356.697265625,0.33929950883611665,,"[['model', 'data', 'learning', 'distribution', 'one', 'problem', 'neural', 'method', 'figure', 'number']]","[[0.01883078, 0.009933753, 0.0080845645, 0.007002966, 0.006584281, 0.0065145018, 0.00640983, 0.0057818033, 0.0055026817, 0.0053980104]]"
25,1,0.01,0.31,32647.595703125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010968672, 0.008244335, 0.005804633, 0.005784302, 0.0056216554, 0.00552, 0.0047067674, 0.004279819, 0.0040765097, 0.0038732016]]"
25,1,0.01,0.61,32697.03125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010948918, 0.008229483, 0.0057941675, 0.0057738726, 0.005611519, 0.0055100475, 0.004698275, 0.004272096, 0.004069153, 0.0038662096]]"
25,1,0.01,0.9099999999999999,32721.009765625,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010940379, 0.008223062, 0.005789642, 0.0057693617, 0.0056071356, 0.005505743, 0.0046946034, 0.0042687557, 0.0040659704, 0.0038631852]]"
25,1,0.01,5.0,32716.9375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.01094112, 0.008223618, 0.005790035, 0.0057697548, 0.005607517, 0.0055061164, 0.0046949224, 0.0042690453, 0.0040662466, 0.0038634487]]"
25,1,0.01,10.0,32716.9921875,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941104, 0.008223606, 0.0057900264, 0.0057697464, 0.005607509, 0.005506109, 0.0046949154, 0.0042690393, 0.004066241, 0.0038634432]]"
25,1,0.31,0.01,19314.24609375,0.35124577456391587,,"[['model', 'data', 'algorithm', 'learning', 'variable', 'one', 'problem', 'neural', 'value', 'feature']]","[[0.018883782, 0.009961723, 0.009506871, 0.008107335, 0.006672807, 0.0066028303, 0.006532853, 0.006427888, 0.0059030605, 0.005553175]]"
25,1,0.31,0.31,32638.439453125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010972631, 0.008247316, 0.005806732, 0.005786395, 0.005623689, 0.005521997, 0.0047084703, 0.004281368, 0.004077987, 0.0038746041]]"
25,1,0.31,0.61,32698.6484375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010948421, 0.008229109, 0.005793905, 0.0057736095, 0.0056112637, 0.0055097947, 0.0046980614, 0.0042719007, 0.0040689674, 0.0038660336]]"
25,1,0.31,0.9099999999999999,32716.787109375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941832, 0.008224154, 0.005790411, 0.0057701305, 0.0056078797, 0.005506475, 0.0046952274, 0.0042693224, 0.004066511, 0.0038637]]"
25,1,0.31,5.0,32716.99609375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.0109411, 0.0082236035, 0.005790024, 0.005769744, 0.0056075067, 0.0055061067, 0.0046949135, 0.0042690374, 0.004066239, 0.0038634415]]"
25,1,0.31,10.0,32716.986328125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941106, 0.008223608, 0.0057900273, 0.0057697473, 0.00560751, 0.0055061094, 0.0046949163, 0.0042690397, 0.0040662414, 0.0038634439]]"
25,1,0.61,0.01,19025.75,0.3433701396048826,,"[['set', 'network', 'algorithm', 'learning', 'using', 'distribution', 'one', 'neural', 'value', 'feature']]","[[0.010145338, 0.009825762, 0.009648224, 0.008227898, 0.007482226, 0.007127144, 0.006701047, 0.0065235067, 0.005990885, 0.0056358036]]"
25,1,0.61,0.31,32638.09375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010973285, 0.008247809, 0.0058070775, 0.0057867393, 0.0056240237, 0.0055223275, 0.0047087506, 0.004281623, 0.0040782294, 0.0038748356]]"
25,1,0.61,0.61,32701.544921875,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010947633, 0.008228517, 0.005793487, 0.005773194, 0.0056108595, 0.0055094007, 0.0046977233, 0.0042715943, 0.0040686755, 0.0038657556]]"
25,1,0.61,0.9099999999999999,32719.376953125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010940684, 0.008223292, 0.0057898047, 0.005769525, 0.005607292, 0.005505897, 0.004694735, 0.0042688744, 0.0040660845, 0.0038632934]]"
25,1,0.61,5.0,32716.9765625,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941108, 0.008223609, 0.0057900283, 0.0057697482, 0.005607511, 0.0055061104, 0.0046949172, 0.0042690407, 0.004066242, 0.0038634443]]"
25,1,0.61,10.0,32716.970703125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941111, 0.008223611, 0.0057900297, 0.0057697496, 0.0056075123, 0.005506112, 0.004694918, 0.0042690416, 0.0040662433, 0.0038634453]]"
25,1,0.9099999999999999,0.01,18037.470703125,0.3355478304794726,,"[['algorithm', 'learning', 'using', 'distribution', 'one', 'neural', 'value', 'method', 'parameter', 'figure']]","[[0.010172484, 0.008675064, 0.007888916, 0.007514559, 0.0070653316, 0.006878154, 0.0063166204, 0.006204314, 0.005979701, 0.005904829]]"
25,1,0.9099999999999999,0.31,32632.04296875,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010975484, 0.008249463, 0.005808245, 0.0057879, 0.0056251525, 0.005523436, 0.0047096955, 0.0042824834, 0.004079048, 0.0038756132]]"
25,1,0.9099999999999999,0.61,32692.826171875,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010949944, 0.008230255, 0.005794712, 0.0057744165, 0.005612048, 0.0055105654, 0.004698719, 0.0042724996, 0.0040695374, 0.0038665747]]"
25,1,0.9099999999999999,0.9099999999999999,32718.33984375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941148, 0.008223641, 0.00579005, 0.00576977, 0.00560753, 0.005506131, 0.0046949345, 0.004269056, 0.004066257, 0.0038634578]]"
25,1,0.9099999999999999,5.0,32716.951171875,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941116, 0.008223616, 0.005790033, 0.005769753, 0.0056075156, 0.005506115, 0.004694921, 0.004269044, 0.004066245, 0.0038634473]]"
25,1,0.9099999999999999,10.0,32716.984375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941107, 0.008223608, 0.005790028, 0.005769748, 0.0056075105, 0.00550611, 0.004694917, 0.00426904, 0.004066242, 0.003863444]]"
25,1,5.0,0.01,18088.541015625,0.3571723074388735,,"[['function', 'set', 'using', 'variable', 'one', 'problem', 'method', 'figure', 'number', 'result']]","[[0.015140629, 0.010662613, 0.007863856, 0.0071175178, 0.007042885, 0.006968253, 0.006184599, 0.005886064, 0.0057741133, 0.0054755784]]"
25,1,5.0,0.31,32645.556640625,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010969591, 0.00824503, 0.0058051213, 0.0057847886, 0.005622128, 0.0055204653, 0.0047071623, 0.0042801793, 0.0040768543, 0.0038735282]]"
25,1,5.0,0.61,32693.474609375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010949294, 0.008229767, 0.005794371, 0.0057740747, 0.0056117163, 0.0055102413, 0.004698441, 0.004272247, 0.004069296, 0.003866348]]"
25,1,5.0,0.9099999999999999,32718.4375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.01094121, 0.008223688, 0.005790083, 0.0057698037, 0.005607562, 0.0055061625, 0.0046949615, 0.0042690807, 0.00406628, 0.00386348]]"
25,1,5.0,5.0,32716.9765625,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.01094111, 0.008223611, 0.005790029, 0.005769749, 0.005607512, 0.0055061113, 0.0046949177, 0.004269041, 0.004066243, 0.003863445]]"
25,1,5.0,10.0,32717.021484375,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941096, 0.0082236, 0.0057900217, 0.005769742, 0.005607505, 0.0055061043, 0.0046949117, 0.0042690355, 0.0040662377, 0.0038634401]]"
25,1,10.0,0.01,19429.126953125,0.30233683487796614,,"[['function', 'set', 'network', 'algorithm', 'using', 'distribution', 'problem', 'state', 'neural', 'value']]","[[0.0141072245, 0.00993465, 0.009621704, 0.0094478475, 0.0073267883, 0.006979074, 0.0064922734, 0.0064575016, 0.0063879592, 0.0058663865]]"
25,1,10.0,0.31,32651.8828125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010967253, 0.008243267, 0.0058038817, 0.0057835523, 0.005620927, 0.0055192863, 0.0047061564, 0.004279264, 0.004075981, 0.0038726986]]"
25,1,10.0,0.61,32693.703125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010950353, 0.008230561, 0.005794927, 0.0057746293, 0.0056122546, 0.0055107703, 0.004698891, 0.004272656, 0.0040696864, 0.0038667168]]"
25,1,10.0,0.9099999999999999,32785.32421875,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010921423, 0.008208842, 0.005779619, 0.005759367, 0.005597433, 0.0054962165, 0.0046864725, 0.0042612827, 0.004058928, 0.0038564974]]"
25,1,10.0,5.0,32716.986328125,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.010941106, 0.008223608, 0.0057900273, 0.0057697473, 0.00560751, 0.0055061094, 0.0046949163, 0.0042690397, 0.0040662414, 0.0038634439]]"
25,1,10.0,10.0,32717.01171875,0.3664990557550808,,"[['model', 'function', 'set', 'data', 'network', 'algorithm', 'learning', 'using', 'distribution', 'variable']]","[[0.0109410975, 0.008223602, 0.0057900227, 0.005769743, 0.005607506, 0.0055061053, 0.0046949126, 0.0042690365, 0.004066238, 0.0038634406]]"
25,4,0.01,0.01,-33585.3828125,0.3000556585168781,,"[['algorithm', 'variable', 'method', 'number', 'probability', 'input', 'let', 'entropy', 'training', 'analysis'], ['model', 'network', 'distribution', 'state', 'value', 'linear', 'used', 'show', 'also', 'weight'], ['set', 'one', 'result', 'vector', 'given', 'neuron', 'error', 'system', 'rate', 'information'], ['data', 'learning', 'using', 'problem', 'neural', 'parameter', 'feature', 'case', 'two', 'figure']]","[[0.026180346, 0.018366683, 0.015890874, 0.01482546, 0.013642637, 0.012874523, 0.011331155, 0.011144533, 0.010266604, 0.0097896205], [0.043970797, 0.022537326, 0.016239721, 0.015125878, 0.013732739, 0.012268713, 0.0115560675, 0.011192608, 0.010390871, 0.009819663], [0.025580179, 0.016888496, 0.013029309, 0.012858071, 0.012500371, 0.011522389, 0.010262297, 0.0102614965, 0.010090083, 0.0099911885], [0.02188902, 0.017808367, 0.016194442, 0.014349881, 0.014116733, 0.012271954, 0.012203734, 0.011349376, 0.011271924, 0.011245946]]"
25,4,0.01,0.31,33327.92578125,0.39053118287691857,,"[['function', 'network', 'linear', 'gradient', 'model', 'tree', 'one', 'probability', 'harmony', 'set'], ['function', 'model', 'algorithm', 'convex', 'linear', 'xi', 'relaxation', 'network', 'set', 'ft'], ['data', 'model', 'set', 'entropy', 'missing', 'distribution', 'variable', 'sample', 'algorithm', 'estimator'], ['model', 'feature', 'network', 'state', 'learning', 'neuron', 'parameter', 'function', 'weight', 'neural']]","[[0.013086606, 0.006379004, 0.005846536, 0.0056336205, 0.0054198406, 0.0053141676, 0.005313053, 0.0053112977, 0.0052076867, 0.004988724], [0.014635391, 0.012299723, 0.008783993, 0.0061588627, 0.006023053, 0.0058527878, 0.0057439213, 0.0050807665, 0.005056362, 0.004971006], [0.011966451, 0.007601413, 0.007355089, 0.007238305, 0.006918466, 0.006838119, 0.006814338, 0.006562094, 0.0064782365, 0.005578291], [0.014438688, 0.008334683, 0.0076461947, 0.007394511, 0.007270142, 0.0071880133, 0.0061448948, 0.0056320424, 0.0055129137, 0.005436701]]"
25,4,0.01,0.61,34756.4765625,0.4010733522442921,,"[['feature', 'algorithm', 'set', 'function', 'gradient', 'data', 'one', 'problem', 'estimator', 'method'], ['function', 'state', 'model', 'relaxation', 'linear', 'transition', 'xi', 'variable', 'distribution', 'number'], ['model', 'data', 'network', 'missing', 'set', 'cache', 'algorithm', 'variable', 'language', 'neural'], ['neuron', 'network', 'weight', 'function', 'input', 'parameter', 'learning', 'neural', 'model', 'rate']]","[[0.009142896, 0.00866359, 0.00805853, 0.006145545, 0.0059124622, 0.005726031, 0.005492509, 0.0050019873, 0.0048356494, 0.00477412], [0.019083228, 0.016619656, 0.015564522, 0.007486278, 0.0071813725, 0.006918378, 0.006669036, 0.00616517, 0.006044821, 0.0055751554], [0.019939283, 0.009368549, 0.008971153, 0.006348338, 0.0063483375, 0.005950942, 0.005633026, 0.004997192, 0.0049971915, 0.0048382324], [0.009022296, 0.007977237, 0.007454708, 0.007305413, 0.007230766, 0.006558943, 0.006409648, 0.0062603536, 0.00611106, 0.00536459]]"
25,4,0.01,0.9099999999999999,33577.859375,0.36943280304318,,"[['data', 'model', 'set', 'state', 'algorithm', 'entropy', 'variable', 'function', 'distribution', 'estimator'], ['feature', 'network', 'function', 'model', 'one', 'gradient', 'neural', 'method', 'vector', 'algorithm'], ['function', 'xi', 'relaxation', 'algorithm', 'linear', 'space', 'sn', 'bisubmodular', 'set', 'theorem'], ['model', 'learning', 'input', 'network', 'neural', 'distribution', 'weight', 'cache', 'value', 'using']]","[[0.011305374, 0.009500669, 0.007433751, 0.0074058464, 0.007031223, 0.00670167, 0.006407437, 0.006046058, 0.006038507, 0.005482552], [0.0104163885, 0.010143803, 0.006532047, 0.0061913156, 0.005646145, 0.0055098524, 0.0055098524, 0.0051691206, 0.0051691206, 0.0047602425], [0.021847824, 0.008919722, 0.008786443, 0.008519884, 0.007720207, 0.0075869276, 0.0069205305, 0.006520692, 0.006254133, 0.005454457], [0.020670021, 0.007318863, 0.0069834357, 0.006375048, 0.0060813637, 0.0057519963, 0.0054507675, 0.0053807576, 0.005365784, 0.005111524]]"
25,4,0.01,5.0,33797.30859375,0.35403795379439434,,"[['model', 'function', 'cache', 'relaxation', 'language', 'set', 'gradient', 'xi', 'data', 'bisubmodular'], ['model', 'data', 'network', 'entropy', 'missing', 'variance', 'set', 'parameter', 'variable', 'using'], ['state', 'model', 'function', 'network', 'learning', 'process', 'hidden', 'problem', 'vector', 'algorithm'], ['function', 'algorithm', 'feature', 'set', 'neuron', 'rate', 'one', 'eq', 'learning', 'bound']]","[[0.016785, 0.012460538, 0.0075326646, 0.0066275448, 0.005923562, 0.0056218565, 0.0054207183, 0.0052195806, 0.0049178745, 0.0049178745], [0.016533364, 0.01334287, 0.008971787, 0.0077020144, 0.0074099065, 0.0066582747, 0.006606544, 0.0065533156, 0.006512497, 0.0059048003], [0.011486476, 0.008246024, 0.0075029177, 0.00671231, 0.005690329, 0.005339606, 0.005103463, 0.0046034227, 0.0045993184, 0.0044590123], [0.00968141, 0.00949037, 0.009304892, 0.007007086, 0.0067055207, 0.005903525, 0.005061371, 0.0048174276, 0.0047726226, 0.0046125115]]"
25,4,0.01,10.0,34545.34375,0.3829015305785545,,"[['feature', 'function', 'algorithm', 'set', 'one', 'eq', 'rate', 'space', 'distribution', 'method'], ['model', 'state', 'network', 'function', 'neural', 'weight', 'learning', 'linear', 'value', 'parameter'], ['model', 'data', 'entropy', 'distribution', 'cache', 'set', 'variable', 'using', 'missing', 'network'], ['function', 'algorithm', 'relaxation', 'xi', 'convex', 'gradient', 'ft', 'model', 'set', 'bisubmodular']]","[[0.009694447, 0.0071628513, 0.007162851, 0.0064596296, 0.0059673768, 0.0051235114, 0.005053189, 0.0046312567, 0.004631256, 0.0042796466], [0.01174523, 0.011048088, 0.009357017, 0.0081202425, 0.0072082793, 0.0064948723, 0.006414634, 0.0061019333, 0.0060992166, 0.0059728352], [0.022113271, 0.014006995, 0.008878916, 0.007885559, 0.0061062262, 0.0058884677, 0.005745396, 0.005549094, 0.005209179, 0.0051276293], [0.016882664, 0.010249962, 0.0069336104, 0.00672634, 0.006622704, 0.0056899786, 0.0056899786, 0.005275435, 0.0051717996, 0.0050681625]]"
25,4,0.31,0.01,-33546.20703125,0.3099967958667829,,"[['algorithm', 'figure', 'result', 'probability', 'xi', 'time', 'sample', 'missing', 'training', 'entropy'], ['data', 'network', 'state', 'value', 'feature', 'number', 'information', 'ie', 'term', 'estimator'], ['model', 'function', 'set', 'linear', 'case', 'used', 'one', 'input', 'following', 'gradient'], ['distribution', 'variable', 'problem', 'neural', 'method', 'parameter', 'two', 'vector', 'given', 'show']]","[[0.024517631, 0.014223602, 0.013223653, 0.01278238, 0.012601756, 0.0103377765, 0.009982907, 0.009980215, 0.009619888, 0.009253678], [0.02573051, 0.025220767, 0.016932635, 0.015376916, 0.014473219, 0.014099561, 0.010043766, 0.0096274195, 0.008895154, 0.008444034], [0.040069394, 0.032625765, 0.02296939, 0.012114408, 0.011866138, 0.01154462, 0.010814377, 0.010741497, 0.009777169, 0.009456215], [0.016212998, 0.015400218, 0.015078771, 0.014838643, 0.013381222, 0.012897955, 0.011843939, 0.011601485, 0.011274362, 0.011117113]]"
25,4,0.31,0.31,33610.50390625,0.41615696931808654,,"[['network', 'feature', 'neuron', 'learning', 'function', 'weight', 'model', 'parameter', 'input', 'neural'], ['function', 'algorithm', 'model', 'set', 'relaxation', 'prediction', 'theorem', 'xi', 'space', 'sn'], ['model', 'data', 'entropy', 'distribution', 'estimator', 'variance', 'independent', 'analysis', 'gradient', 'sample'], ['model', 'state', 'data', 'variable', 'set', 'missing', 'function', 'value', 'cache', 'problem']]","[[0.010184126, 0.009880462, 0.0072841193, 0.0071650418, 0.0071530426, 0.0069187293, 0.005571433, 0.00542011, 0.005368144, 0.00518193], [0.017969329, 0.009947334, 0.009270852, 0.0074060694, 0.007122471, 0.006930654, 0.00681151, 0.006750075, 0.006619763, 0.0060417927], [0.011943012, 0.00780622, 0.0076590083, 0.0071184738, 0.0060430565, 0.0056162714, 0.005044254, 0.0047407807, 0.0046680947, 0.004572834], [0.015339638, 0.010951339, 0.009485088, 0.0076793344, 0.007454587, 0.006982981, 0.006567415, 0.005755678, 0.005406073, 0.0051907343]]"
25,4,0.31,0.61,34542.73046875,0.3740622902040901,,"[['model', 'function', 'network', 'neuron', 'neural', 'input', 'linear', 'value', 'learning', 'cache'], ['data', 'feature', 'function', 'variable', 'set', 'missing', 'xi', 'estimator', 'problem', 'one'], ['gradient', 'network', 'parameter', 'model', 'learning', 'algorithm', 'vector', 'problem', 'neural', 'process'], ['model', 'algorithm', 'function', 'state', 'distribution', 'set', 'probability', 'bound', 'space', 'sn']]","[[0.02206863, 0.009055546, 0.008675253, 0.008029896, 0.00742164, 0.00668729, 0.006648969, 0.006297683, 0.006012831, 0.005573261], [0.0108665, 0.010094756, 0.009060798, 0.008942642, 0.008160838, 0.007716331, 0.0070327125, 0.0055952407, 0.005531751, 0.005324092], [0.00767538, 0.0075870417, 0.007498705, 0.00652699, 0.006173639, 0.005908626, 0.005113587, 0.004936911, 0.0048485734, 0.0044952226], [0.010331895, 0.010101802, 0.008930901, 0.0086235665, 0.0068320567, 0.006211965, 0.0058994014, 0.0050474615, 0.0048888954, 0.004887935]]"
25,4,0.31,0.9099999999999999,33117.64453125,0.4076226111338444,,"[['model', 'state', 'algorithm', 'function', 'set', 'linear', 'problem', 'value', 'number', 'learning'], ['feature', 'neuron', 'model', 'input', 'current', 'one', 'function', 'eq', 'rate', 'weight'], ['function', 'model', 'data', 'algorithm', 'set', 'network', 'variable', 'theorem', 'missing', 'probability'], ['model', 'network', 'data', 'parameter', 'cache', 'learning', 'distribution', 'using', 'entropy', 'language']]","[[0.011739967, 0.010198558, 0.0077786585, 0.007272024, 0.0068721576, 0.0056436085, 0.005570066, 0.0054320423, 0.0051498692, 0.0049373163], [0.012435794, 0.010651498, 0.00645038, 0.006428223, 0.0063530486, 0.0062919194, 0.0059980475, 0.005818831, 0.005431714, 0.0052685635], [0.013547306, 0.0087477695, 0.007708933, 0.006715449, 0.0064357114, 0.0063060853, 0.0060916557, 0.0057453867, 0.005537346, 0.0048341393], [0.01497686, 0.010086069, 0.007173672, 0.0071138875, 0.006729436, 0.006345534, 0.0061167665, 0.006048096, 0.005854191, 0.005153989]]"
25,4,0.31,5.0,34670.93359375,0.3612077281203703,,"[['function', 'weight', 'neuron', 'relaxation', 'learning', 'xi', 'current', 'activation', 'synapse', 'set'], ['model', 'feature', 'state', 'set', 'one', 'algorithm', 'network', 'cache', 'number', 'method'], ['function', 'parameter', 'algorithm', 'rate', 'set', 'log', 'input', 'network', 'model', 'value'], ['model', 'data', 'missing', 'network', 'entropy', 'variable', 'using', 'distribution', 'case', 'problem']]","[[0.016787183, 0.009120625, 0.0083309375, 0.0074292133, 0.0074222437, 0.0071992427, 0.0068656374, 0.006077116, 0.0057384837, 0.005708608], [0.0129276775, 0.008912621, 0.0070006293, 0.006043916, 0.0058527524, 0.0054049953, 0.0048328196, 0.004769977, 0.00438754, 0.0043867226], [0.014835801, 0.0074129, 0.0068016034, 0.006626947, 0.005928321, 0.0052296943, 0.005055038, 0.0049677095, 0.0048803813, 0.0048803813], [0.016371854, 0.012055992, 0.007040869, 0.0065233745, 0.006458686, 0.00621064, 0.006010991, 0.005212361, 0.0050534764, 0.0050399443]]"
25,4,0.31,10.0,34768.34375,0.3558413840318989,,"[['model', 'function', 'feature', 'entropy', 'data', 'distribution', 'one', 'set', 'using', 'cache'], ['model', 'state', 'function', 'linear', 'process', 'value', 'transition', 'figure', 'network', 'neural'], ['function', 'data', 'algorithm', 'set', 'variable', 'missing', 'network', 'learning', 'loss', 'ft'], ['algorithm', 'network', 'set', 'parameter', 'learning', 'problem', 'vector', 'function', 'neural', 'neuron']]","[[0.017287863, 0.009464287, 0.008669717, 0.007069201, 0.006268869, 0.006145826, 0.005468588, 0.0054060523, 0.0050375876, 0.00460687], [0.01544575, 0.013535155, 0.007639162, 0.007618076, 0.0068451455, 0.006841195, 0.005362846, 0.0051980275, 0.0049391384, 0.0048571955], [0.01040366, 0.009763541, 0.008820429, 0.007663439, 0.0071395235, 0.0066107, 0.006085372, 0.005664885, 0.005561611, 0.0053496137], [0.009222644, 0.0068894094, 0.0066152792, 0.0052056457, 0.005202985, 0.00506408, 0.0049237185, 0.004552448, 0.0043482305, 0.004284504]]"
